date,window,industry,rank,ret,rel,members
2026-08-03,1M,Industrial Conglomerates,73,-2.301198363908581,-4.488742608822146,4
2026-08-03,1M,Major Banks,74,-2.3723567319264194,-4.559900976839984,22
2026-08-03,1M,Specialty Insurance,75,-2.963379068592735,-5.1509233135063,2
2026-08-03,1M,Gas Distributors,76,-2.976534292254652,-5.164078537168217,6
2026-08-03,1M,Electronics/Appliance Stores,77,-3.7285991205474467,-5.916143365461012,2
2026-08-03,1M,Engineering & Construction,78,-3.7858710660006256,-5.9734153109141905,55
2026-08-03,1M,Investment Trusts/Mutual Funds,79,-3.8678521932793806,-6.055396438192945,3
2026-08-03,1M,Other Consumer Services,80,-3.929262033202608,-6.116806278116172,5
2026-08-03,1M,Investment Managers,81,-4.00507089234344,-6.192615137257005,13
2026-08-03,1M,Telecommunications Equipment,82,-4.181815452893389,-6.369359697806954,7
2026-08-03,1M,Food: Meat/Fish/Dairy,83,-4.201307536901961,-6.388851781815526,6
2026-08-03,1M,Aerospace & Defense,84,-4.21994978632119,-6.407494031234755,9
2026-08-03,1M,Tobacco,85,-4.230964289158854,-6.418508534072419,3
2026-08-03,1M,Multi-Line Insurance,86,-4.3099355860805195,-6.497479830994084,5
2026-08-03,1M,Apparel/Footwear Retail,87,-4.975166015486065,-7.1627102603996295,12
2026-08-03,1M,Semiconductors,88,-5.268951978410116,-7.456496223323681,10
2026-08-03,1M,Apparel/Footwear,89,-5.352235563695013,-7.539779808608578,18
2026-08-03,1M,Alternative Power Generation,90,-5.3826426874055855,-7.57018693231915,10
2026-08-03,1M,Investment Banks/Brokers,91,-5.469344348990802,-7.656888593904367,22
2026-08-03,1M,Coal,92,-6.145110812911877,-8.332655057825441,4
2026-08-03,1M,Oil & Gas Production,93,-6.338895684184986,-8.52643992909855,3
2026-08-03,1M,Major Telecommunications,94,-6.720392222205504,-8.907936467119068,5
2026-08-03,1M,Broadcasting,95,-7.2789584433713905,-9.466502688284955,3
